Date,Open,High,Low,Close,Volume
2011-05-27,41.150001525878906,41.66999816894531,40.54999923706055,41.52000045776367,43180959
2011-06-03,41.900001525878906,41.9900016784668,39.16999816894531,39.380001068115234,52169227
2011-06-10,39.18000030517578,39.88100051879883,38.41999816894531,38.5,49099516
2011-06-17,38.630001068115234,38.86119842529297,37.77000045776367,38.040000915527344,54513950
2011-06-24,37.84999847412109,38.88999938964844,37.18999862670898,37.58000183105469,50409504
2011-07-01,37.619998931884766,39.86000061035156,37.470001220703125,39.720001220703125,49082241
2011-07-08,39.77000045776367,40.18000030517578,39.20000076293945,39.90999984741211,42903340
2011-07-15,39.4900016784668,39.84000015258789,38.97999954223633,39.27000045776367,65059475
2011-07-22,39.119998931884766,40.970001220703125,38.459999084472656,40.650001525878906,46616759
2011-07-29,40.25,40.88999938964844,38.5,38.619998931884766,53948510
2011-08-05,38.72999954223633,38.75,34.400001525878906,35.18000030517578,79112081
2011-08-12,34.060001373291016,34.75,29.600000381469727,33.09000015258789,205652357
2011-08-19,33.43000030517578,33.79999923706055,31.81999969482422,31.850000381469727,91889302
2011-08-26,32.41999816894531,32.83000183105469,31.32999992370605,32.400001525878906,80069188
2011-09-02,32.720001220703125,34.33000183105469,32.40999984741211,32.459999084472656,54109760
2011-09-09,31.459999084472656,32.68000030517578,30.729999542236328,31.040000915527344,52500678
2011-09-16,30.690000534057617,33.29499816894531,30.520000457763672,32.90999984741211,57947528
2011-09-23,32.380001068115234,32.880001068115234,29.049999237060547,29.82999992370605,79899433
2011-09-30,30.059999465942383,31.709999084472656,29.68000030517578,30.15999984741211,68594103
2011-10-07,30.030000686645508,32.369998931884766,28.190000534057617,31.700000762939453,75409552
2011-10-14,32.36000061035156,34.529998779296875,32.23500061035156,34.470001220703125,55681064
2011-10-21,33.83000183105469,35.15999984741211,33.1349983215332,35.15999984741211,49475954
2011-10-28,35.2400016784668,36.59999847412109,34.09000015258789,36.209999084472656,46680675
2011-11-04,35.720001220703125,35.790000915527344,33.31290054321289,34.7599983215332,47762041
2011-11-11,34.86000061035156,37.41999816894531,33.650001525878906,36.70000076293945,64131218
2011-11-18,36.33000183105469,37.0,34.79999923706055,35.630001068115234,99430993
2011-11-25,35.47999954223633,35.630001068115234,33.279998779296875,33.5099983215332,68224887
2011-12-02,34.27000045776367,36.83000183105469,33.7599983215332,36.61000061035156,53404787
2011-12-09,37.040000915527344,37.369998931884766,35.81999969482422,36.560001373291016,43301745
2011-12-16,36.20000076293945,37.119998931884766,34.98500061035156,35.31999969482422,63655165
2011-12-23,35.38999938964844,37.720001220703125,34.5099983215332,37.70000076293945,44653089
2011-12-30,37.61000061035156,37.79999923706055,37.165000915527344,37.5,19622791
2012-01-06,37.970001220703125,40.150001525878906,37.93999862670898,39.90999984741211,48325789
2012-01-13,39.7400016784668,40.25,38.02000045776367,38.400001525878906,62430239
2012-01-20,38.68999862670898,39.470001220703125,38.400001525878906,39.310001373291016,34348663
2012-01-27,39.380001068115234,39.75,38.56999969482422,39.25,43336242
2012-02-03,38.7400016784668,40.0,38.380001068115234,40.0,52292370
2012-02-10,40.0,41.90999984741211,39.959999084472656,41.45000076293945,77034182
2012-02-17,41.619998931884766,41.91999816894531,41.08000183105469,41.75,40399887
2012-02-24,41.79999923706055,41.900001525878906,41.09000015258789,41.310001373291016,24272996
2012-03-02,41.70000076293945,42.540000915527344,41.29999923706055,42.36000061035156,43956002
2012-03-09,42.34999847412109,42.77000045776367,41.70000076293945,42.2400016784668,40578898
2012-03-16,42.52999877929688,44.08000183105469,42.150001525878906,43.18999862670898,47953458
2012-03-23,43.06999969482422,43.869998931884766,42.86000061035156,43.650001525878906,39901244
2012-03-30,43.93999862670898,44.5,42.29999923706055,43.77999877929688,49143808
2012-04-05,43.59000015258789,44.0,42.48199844360352,43.08000183105469,30554227
2012-04-13,42.130001068115234,42.27000045776367,40.875,41.84999847412109,36709860
2012-04-20,42.060001373291016,42.84000015258789,41.540000915527344,42.34999847412109,31296444
2012-04-27,42.25,43.650001525878906,41.72999954223633,43.34999847412109,30091006
2012-05-04,43.31999969482422,44.130001068115234,42.84000015258789,42.93000030517578,41169756
2012-05-11,43.650001525878906,45.79999923706055,43.09000015258789,45.560001373291016,76683338
2012-05-18,45.16999816894531,45.79999923706055,43.622501373291016,43.810001373291016,45713229
